"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-10-25 00:50:05"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.90798625","40.85235044","Bronx","10453","20","EAST 179 STREET","0","2463445","205","05/31/2022","14","0","18673900","Not Completed",""
" -73.90225841","40.85660148","Bronx","10453","111","EAST 182 STREET","0","2463739","205","05/31/2022","14","0","18679303","Not Completed",""
" -73.84566691","40.83653586","Bronx","10461","2409","BUTLER PLACE","0","2447739","210","05/31/2022","18","0","14038163","Not Completed",""
" -73.90184991","40.84633390","Bronx","10457","1831","WEBSTER AVENUE","0","2467838","205","05/31/2022","15","0","13394196","Not Completed",""
" -73.88447492","40.84986042","Bronx","10457","2244","PROSPECT AVENUE","0","2468302","206","05/31/2022","15","0","18464372","Not Completed",""
" -73.88450633","40.84978103","Bronx","10457","2244","PROSPECT AVENUE","0","2468303","206","05/31/2022","15","0","18463968","Not Completed",""
" -73.90273750","40.86277862","Bronx","10468","39","WEST FORDHAM ROAD","0","2451072","207","05/31/2022","14","0","9518559","Not Completed",""
" -73.86342142","40.83779060","Bronx","10462","1478","WHITE PLAINS ROAD","0","2472021","209","05/31/2022","18","0","10027687","Not Completed",""
" -73.84634429","40.84087560","Bronx","10461","2526","GLEBE AVENUE","0","2451551","210","05/31/2022","13","0","14037000","Not Completed",""
" -73.89282251","40.70398264","Queens","11385","69-22","64 PLACE","0","2931741","405","05/31/2022","30","0","8480694","Not Completed",""
" -73.89178199","40.85789941","Bronx","10458","469","EAST 187 STREET","0","3163363","206","05/31/2022","15","0","18585583","Not Completed",""
" -73.88969709","40.85575897","Bronx","10458","2366","LORILLARD PLACE","0","3163608","206","05/31/2022","15","0","9518569","Not Completed",""
" -73.90332257","40.85686093","Bronx","10453","54","EAST 182 STREET","0","2465167","205","05/31/2022","14","0","18672931","Not Completed",""
" -73.93551535","40.81848263","Manhattan","10037","40","WEST 143 STREET","0","2336818","110","05/31/2022","9","0","18515389","Not Completed",""
" -73.94045828","40.81812903","Manhattan","10030","161","WEST 140 STREET","0","2342704","110","05/31/2022","9","0","18478617","Not Completed",""
" -73.87857354","40.82569811","Bronx","10472","1071","ELDER AVENUE","0","2469776","209","05/31/2022","17","0","14232130","Not Completed",""
" -73.79284129","40.67433226","Queens","11436","123-33","INWOOD STREET","0","2739958","412","05/31/2022","28","0","18583894","Not Completed",""
" -73.89816500","40.77407923","Queens","11105","45-15","20 AVENUE","0","2713810","401","05/31/2022","22","0","9466997","Not Completed",""
" -73.93518573","40.75281584","Queens","11101","39-30","29 STREET","0","2719254","401","05/31/2022","26","0","10005313","Not Completed",""
" -73.84180654","40.83412581","Bronx","10462","1230","SEABURY AVENUE","0","2775678","209","05/31/2022","13","0","14139267","Not Completed",""
" -73.84056822","40.83653140","Bronx","10461","1332","COMMERCE AVENUE","0","2770791","210","05/31/2022","13","0","14139233","Not Completed",""
" -73.89291596","40.86467076","Bronx","10458","2616","BRIGGS AVENUE","0","2787271","207","05/31/2022","15","0","18296154","Not Completed",""
" -73.84025210","40.83589274","Bronx","10461","1322","COMMERCE AVENUE","0","2770786","210","05/31/2022","13","0","14139237","Not Completed",""
